#x-axis,1,2
#second,Volt,Volt
-8.29000E-03,+533.91959E-03,-603.01507E-03
-8.28000E-03,+532.66331E-03,-623.11557E-03
-8.27000E-03,+542.71356E-03,-609.29648E-03
-8.26000E-03,+526.38190E-03,-623.11557E-03
-8.25000E-03,+542.71356E-03,-604.27135E-03
-8.24000E-03,+542.71356E-03,-603.01507E-03
-8.23000E-03,+542.71356E-03,-603.01507E-03
-8.22000E-03,+562.81406E-03,-582.91457E-03
-8.21000E-03,+550.25125E-03,-582.91457E-03
-8.20000E-03,+562.81406E-03,-591.70854E-03
-8.19000E-03,+562.81406E-03,-615.57788E-03
-8.18000E-03,+562.81406E-03,-623.11557E-03
-8.17000E-03,+562.81406E-03,-643.21607E-03
-8.16000E-03,+562.81406E-03,-643.21607E-03
-8.15000E-03,+579.14572E-03,-639.44723E-03
-8.14000E-03,+567.83919E-03,-616.83416E-03
-8.13000E-03,+582.91457E-03,-603.01507E-03
-8.12000E-03,+562.81406E-03,-571.60803E-03
-8.11000E-03,+576.63316E-03,-582.91457E-03
-8.10000E-03,+577.88944E-03,-562.81406E-03
-8.09000E-03,+603.01507E-03,-582.91457E-03
-8.08000E-03,+582.91457E-03,-603.01507E-03
-8.07000E-03,+579.14572E-03,-623.11557E-03
-8.06000E-03,+582.91457E-03,-633.16582E-03
-8.05000E-03,+590.45225E-03,-654.52261E-03
-8.04000E-03,+591.70854E-03,-643.21607E-03
-8.03000E-03,+595.47738E-03,-643.21607E-03
-8.02000E-03,+606.78391E-03,-623.11557E-03
-8.01000E-03,+603.01507E-03,-603.01507E-03
-8.00000E-03,+603.01507E-03,-562.81406E-03
-7.99000E-03,+619.34673E-03,-559.04522E-03
-7.98000E-03,+608.04019E-03,-562.81406E-03
-7.97000E-03,+610.55276E-03,-582.91457E-03
-7.96000E-03,+613.06532E-03,-592.96482E-03
-7.95000E-03,+623.11557E-03,-629.39698E-03
-7.94000E-03,+638.19095E-03,-643.21607E-03
-7.93000E-03,+624.37185E-03,-663.31658E-03
-7.92000E-03,+623.11557E-03,-643.21607E-03
-7.91000E-03,+643.21607E-03,-619.34673E-03
-7.90000E-03,+636.93467E-03,-603.01507E-03
-7.89000E-03,+630.65326E-03,-590.45225E-03
-7.88000E-03,+643.21607E-03,-591.70854E-03
-7.87000E-03,+643.21607E-03,-562.81406E-03
-7.86000E-03,+643.21607E-03,-562.81406E-03
-7.85000E-03,+643.21607E-03,-582.91457E-03
-7.84000E-03,+663.31658E-03,-623.11557E-03
-7.83000E-03,+659.54773E-03,-643.21607E-03
-7.82000E-03,+663.31658E-03,-643.21607E-03
-7.81000E-03,+654.52261E-03,-643.21607E-03
-7.80000E-03,+663.31658E-03,-631.90954E-03
-7.79000E-03,+663.31658E-03,-623.11557E-03
-7.78000E-03,+667.08542E-03,-603.01507E-03
-7.77000E-03,+646.98492E-03,-600.50251E-03
-7.76000E-03,+683.41708E-03,-582.91457E-03
-7.75000E-03,+679.64823E-03,-582.91457E-03
-7.74000E-03,+668.34170E-03,-510.05025E-03
-7.73000E-03,+670.85426E-03,-149.49749E-03
-7.72000E-03,+663.31658E-03,+463.56783E-03
-7.71000E-03,+663.31658E-03,+1.00502511E+00
